id,section,concept,action,characters,location,required_motion_channels,notes
S21,Verse 2,Keep twenty people medically... Alive,"Camera tracks frantic station, then hard stops on word ALIVE",ensemble,center,"multi-character,props,camera,typography",Punchline pacing
S22,Verse 2,Dark works twelve-hour shifts,Detox side clock/light transition; nurse keeps working,orca,detox,"clock,light,character,camera",Gallows humor
S23,Verse 2,Chaos clocks in,Literal tiny CHAOS timecard punches clock; puffer inflates,puffer,center,"prop animation,puffer morph,camera,bubbles",Strong comic insert
S24,Chorus 2,Repeat anthem with escalated choreography,"More continuous movement, fewer repeated angles",ensemble,whole set,"ensemble,camera,environment,typography",Do not reuse S13 wholesale
S25,Bridge,Hardest one ain't screaming,Motion and saturation drop; close eye-level shot,rainbow,residential,"micro-face,hair,particles,slow camera",Emotional grammar change
S26,Bridge,It can happen to anybody,Different fish silhouettes cross same shaft of light,ensemble silhouettes,whole set,"silhouettes,light,particles,camera",Universal without stereotypes
S27,Bridge,Take another...,"Quiet montage of pressure cuff, intake clipboard, provider glance","betta,orca",center,"hands/props,eye acting,slow camera",No rapid cuts
S28,Bridge,They come back,Former client-fish returns to glass from clear water,rainbow,residential window,"client swim,face/hand,light,bubbles",No text needed
S29,Bridge,"Thank you, I'm still clean","Two-shot through glass, restrained reaction",rainbow,residential window,"faces,hands,hair,particles",Emotional peak
S30,Beat Return,Beat slams back,Whip through glass into full-color center,ensemble,center,"camera,refraction,lights,characters",Major transition
S31,Final Verse,High we don't dispense,Medication cart passes foreground while recovery imagery moves opposite,"betta,tang",center,"camera,cart,characters,bubbles",Double meaning
S32,Final Verse,Get their name back piece by part,Abstract name-tag letters assemble into 'ME' or neutral identity symbol,rainbow,residential,"typography,character,camera,particles",Avoid real names
S33,Final Verse,Pulse vs being free,Pulse line transforms into swimming path toward open clear water,rainbow,residential,"graphic morph,swim,camera,light",Visual thesis
S34,Final Verse,Code Blue / truth / chaos,Three rapid coded visual states,"orca,puffer,betta",whole set,"lighting,characters,typography,camera","Readable, controlled"
S35,Final Verse,Where's the provider?,All nurses look in different directions in perfect sync,ensemble,center,"head turns,eyes,tails,camera",Comedy reset
S36,Final Chorus,Long traversal detox to residential,One continuous shot travels RIGHT detox through center to LEFT residential,ensemble,whole set,"camera,ensemble,environment,light",Do not reverse orientation
S37,Final Chorus,Recovery can too,"Color and clear water overtake center, not detox entirely",ensemble,whole set,"light/color,characters,bubbles,camera",Hope without erasing detox
S38,Final Chorus,CODE BLUE,Fast emergency tableau resolved into performance pose,"orca,betta",center,"characters,lights,camera,graphic",No gore
S39,Final Chorus,DON'T BE A MELODY,Inside-joke hero freeze only after a short real-motion lead-in,ensemble,center,"character lead-in,typography,bubbles",Freeze <=12 frames
S40,Outro,Intake's here... Goddammit,Water calms; radio chirps; everyone reacts; puffer instantly inflates; cut black,ensemble,center,"radio,puffer morph,faces,bubbles",Final comic button
